Poziom pierwszy;Poziom drugi;Poziom trzeci
Tereny antropogeniczne;Zabudowa miejska;Zabudowa miejska zwarta
Tereny antropogeniczne;Zabudowa miejska;Zabudowa miejska luźna
Tereny antropogeniczne;Tereny przemysłowe, handlowe i komunikacyjne;Tereny przemysłowe lub handlowe
Tereny antropogeniczne;Tereny przemysłowe, handlowe i komunikacyjne;Tereny komunikacyjne oraz tereny związane z komunikacją drogową i kolejową
Tereny antropogeniczne;Tereny przemysłowe, handlowe i komunikacyjne;Porty
Tereny antropogeniczne;Tereny przemysłowe, handlowe i komunikacyjne;Lotniska
Tereny antropogeniczne;Kopalnie, wyrobiska i budowy;Miejsca eksploatacji odkrywkowej
Tereny antropogeniczne;Kopalnie, wyrobiska i budowy;Zwałowiska i hałdy
Tereny antropogeniczne;Kopalnie, wyrobiska i budowy;Budowy
Tereny antropogeniczne;Miejskie tereny zielone i wypoczynkowe;Tereny zielone
Tereny antropogeniczne;Miejskie tereny zielone i wypoczynkowe;Tereny sportowe i wypoczynkowe
Tereny rolne;Grunty orne;Grunty orne poza zasięgiem urządzeń nawadniających
Tereny rolne;Grunty orne;Grunty orne stale nawadniane
Tereny rolne;Grunty orne;Pola ryżowe
Tereny rolne;Uprawy trwałe;Winnice
Tereny rolne;Uprawy trwałe;Sady i plantacje
Tereny rolne;Uprawy trwałe;Gaje oliwne
Tereny rolne;Łąki i pastwiska;Łąki, pastwiska
Tereny rolne;Obszary upraw mieszanych;Uprawy jednoroczne i trwałe
Tereny rolne;Obszary upraw mieszanych;Złożone systemy upraw i działek
Tereny rolne;Obszary upraw mieszanych;Tereny zajęte głównie przez rolnictwo z dużym udziałem terenów naturalnych
Tereny rolne;Obszary upraw mieszanych;Tereny rolno-leśne
Lasy i ekosystemy seminaturalne;Lasy;Lasy liściaste
Lasy i ekosystemy seminaturalne;Lasy;Lasy iglaste
Lasy i ekosystemy seminaturalne;Lasy;Lasy mieszane
Lasy i ekosystemy seminaturalne;Zespoły roślinności drzewiastej i krzewiastej;Murawy i pastwiska naturalne
Lasy i ekosystemy seminaturalne;Zespoły roślinności drzewiastej i krzewiastej;Wrzosowiska i zakrzaczenia
Lasy i ekosystemy seminaturalne;Zespoły roślinności drzewiastej i krzewiastej;Roślinność sucholubna (śródziemnomorska)
Lasy i ekosystemy seminaturalne;Zespoły roślinności drzewiastej i krzewiastej;Lasy i roślinność krzewiasta w stanie zmian
Lasy i ekosystemy seminaturalne;Tereny otwarte, pozbawione roślinności, lub z rzadkim pokryciem roślinnym;Plaże, wydmy, piaski
Lasy i ekosystemy seminaturalne;Tereny otwarte, pozbawione roślinności, lub z rzadkim pokryciem roślinnym;Odsłonięte skały
Lasy i ekosystemy seminaturalne;Tereny otwarte, pozbawione roślinności, lub z rzadkim pokryciem roślinnym;Roślinność rozproszona
Lasy i ekosystemy seminaturalne;Tereny otwarte, pozbawione roślinności, lub z rzadkim pokryciem roślinnym;Pogorzeliska
Lasy i ekosystemy seminaturalne;Tereny otwarte, pozbawione roślinności, lub z rzadkim pokryciem roślinnym;Lodowce i wieczne śniegi
Obszary podmokłe;Śródlądowe obszary podmokłe;Bagna śródlądowe
Obszary podmokłe;Śródlądowe obszary podmokłe;Torfowiska
Obszary podmokłe;Przybrzeżne obszary podmokłe;Bagna słone (solniska)
Obszary podmokłe;Przybrzeżne obszary podmokłe;Saliny
Obszary podmokłe;Przybrzeżne obszary podmokłe;Osuchy
Obszary wodne;Wody śródlądowe;Cieki
Obszary wodne;Wody śródlądowe;Zbiorniki wodne
Obszary wodne;Wody morskie;Laguny
Obszary wodne;Wody morskie;Estuaria
Obszary wodne;Wody morskie;Morza i oceany
